Room Number,Campus,Exam Date,Exam Time
E102,AK,2024-10-26,9:00
E101,AK,2024-10-26,9:00
E002A,AK,2024-10-26,9:00
E002B,AK,2024-10-26,9:00
E004,AK,2024-10-26,9:00
E103,AK,2024-10-26,9:00
C010,AK,2024-10-26,9:00
D132,SA,2024-10-26,9:00
E001,AK,2024-10-26,9:00
D120,SA,2024-10-26,9:00
D128,SA,2024-10-26,9:00
D146,SA,2024-10-26,9:00
D144,SA,2024-10-26,9:00
D124,SA,2024-10-26,9:00
D133,SA,2024-10-26,9:00
D139,SA,2024-10-26,9:00
D136,SA,2024-10-26,9:00
D137,SA,2024-10-26,9:00
D106,SA,2024-10-26,9:00
D108,SA,2024-10-26,9:00
E106,AK,2024-10-26,9:00
D131,SA,2024-10-26,9:00
E005,AK,2024-10-26,9:00
C110,AK,2024-10-26,9:00
C104,AK,2024-10-26,9:00
C101,AK,2024-10-26,9:00
C105,AK,2024-10-26,9:00
C111,AK,2024-10-26,9:00
C112,AK,2024-10-26,9:00
C102,AK,2024-10-26,9:00
C107,AK,2024-10-26,9:00
C108,AK,2024-10-26,9:00
C103,AK,2024-10-26,9:00
C106,AK,2024-10-26,9:00
D101,SA,2024-10-26,9:00
C008,AK,2024-10-26,9:00
D102,SA,2024-10-26,9:00
C001,AK,2024-10-26,9:00
D114,SA,2024-10-26,9:00
C109,AK,2024-10-26,9:00
D109,SA,2024-10-26,9:00
E004,AK,2024-10-28,11:30
E005,AK,2024-10-28,11:30
E105,AK,2024-10-28,11:30
A030,AK,2024-10-28,11:30
A033,AK,2024-10-28,11:30
E104,AK,2024-10-28,11:30
E002B,AK,2024-10-28,11:30
E103,AK,2024-10-28,11:30
D113,SA,2024-10-28,11:30
C002,SA,2024-10-28,11:30
C004,SA,2024-10-28,11:30
C005,SA,2024-10-28,11:30
C008,SA,2024-10-28,11:30
C009,SA,2024-10-28,11:30
D013,SA,2024-10-28,11:30
C010,SA,2024-10-28,11:30
E003,AK,2024-10-28,11:30
C010,AK,2024-10-28,11:30
C009,AK,2024-10-28,11:30
C006,AK,2024-10-28,11:30
D108,SA,2024-10-28,11:30
B115,SA,2024-10-28,11:30
C108,AK,2024-10-28,11:30
C112,AK,2024-10-28,11:30
C101,AK,2024-10-28,11:30
C106,AK,2024-10-28,11:30
C107,AK,2024-10-28,11:30
C104,AK,2024-10-28,11:30
C105,AK,2024-10-28,11:30
C110,AK,2024-10-28,11:30
C111,AK,2024-10-28,11:30
C109,AK,2024-10-28,11:30
C009,AK,2024-10-29,11:30
D120,SA,2024-10-29,11:30
D131,SA,2024-10-29,11:30
D136,SA,2024-10-29,11:30
C010,SA,2024-10-29,11:30
C009,SA,2024-10-29,11:30
C008,SA,2024-10-29,11:30
D133,SA,2024-10-29,11:30
C002,AK,2024-10-29,11:30
E003,AK,2024-10-29,11:30
C005,SA,2024-10-29,11:30
D139,SA,2024-10-29,11:30
C010,AK,2024-10-29,11:30
C003,AK,2024-10-29,11:30
C006,AK,2024-10-29,11:30
D132,SA,2024-10-29,11:30
D137,SA,2024-10-29,11:30
D117,SA,2024-10-29,11:30
D114,SA,2024-10-29,11:30
D113,SA,2024-10-29,11:30
C004,AK,2024-10-29,11:30
C102,AK,2024-10-29,11:30
C101,AK,2024-10-29,11:30
C104,AK,2024-10-29,11:30
C109,AK,2024-10-29,11:30
C111,AK,2024-10-29,11:30
C110,AK,2024-10-29,11:30
C107,AK,2024-10-29,11:30
D136,SA,2024-10-30,11:30
D131,SA,2024-10-30,11:30
D139,SA,2024-10-30,11:30
D137,SA,2024-10-30,11:30
D133,SA,2024-10-30,11:30
D132,SA,2024-10-30,11:30
D117,SA,2024-10-30,11:30
D114,SA,2024-10-30,11:30
C010,AK,2024-10-30,11:30
C004,AK,2024-10-30,11:30
C006,AK,2024-10-30,11:30
C002,SA,2024-10-30,11:30
D113,SA,2024-10-30,11:30
D120,SA,2024-10-30,11:30
C004,SA,2024-10-30,11:30
C005,SA,2024-10-30,11:30
C008,SA,2024-10-30,11:30
C009,SA,2024-10-30,11:30
C001,AK,2024-10-30,11:30
C003,AK,2024-10-30,11:30
C009,AK,2024-10-30,11:30
C005,AK,2024-10-30,11:30
C002,AK,2024-10-30,11:30
B116,SA,2024-10-30,11:30
B013,SA,2024-10-30,11:30
B115,SA,2024-10-30,11:30
C010,SA,2024-10-30,11:30
B003,SA,2024-10-30,11:30
B018,SA,2024-10-30,11:30
C008,AK,2024-10-30,11:30
C008,AK,2024-10-31,11:30
D137,SA,2024-10-31,11:30
E004,AK,2024-10-31,11:30
C002,SA,2024-10-31,11:30
D132,SA,2024-10-31,11:30
C010,AK,2024-10-31,11:30
D113,SA,2024-10-31,11:30
D131,SA,2024-10-31,11:30
C009,AK,2024-10-31,11:30
D136,SA,2024-10-31,11:30
D117,SA,2024-10-31,11:30
D133,SA,2024-10-31,11:30
E001,AK,2024-10-31,11:30
E105,AK,2024-10-31,11:30
E005,AK,2024-10-31,11:30
E103,AK,2024-10-31,11:30
E104,AK,2024-10-31,11:30
C105,AK,2024-10-31,11:30
C106,AK,2024-10-31,11:30
C107,AK,2024-10-31,11:30
C102,AK,2024-10-31,11:30
C108,AK,2024-10-31,11:30
C104,AK,2024-10-31,11:30
C101,AK,2024-10-31,11:30
C111,AK,2024-10-31,11:30
C112,AK,2024-10-31,11:30
C109,AK,2024-10-31,11:30
C110,AK,2024-10-31,11:30
D106,SA,2024-11-02,9:00
D124,SA,2024-11-02,9:00
C004,AK,2024-11-02,9:00
D128,SA,2024-11-02,9:00
C006,AK,2024-11-02,9:00
D108,SA,2024-11-02,9:00
D102,SA,2024-11-02,9:00
D117,SA,2024-11-02,9:00
D114,SA,2024-11-02,9:00
D113,SA,2024-11-02,9:00
D112,SA,2024-11-02,9:00
D109,SA,2024-11-02,9:00
D101,SA,2024-11-02,9:00
D120,SA,2024-11-02,9:00
D131,SA,2024-11-02,9:00
C009,AK,2024-11-02,9:00
C003,AK,2024-11-02,9:00
C002,AK,2024-11-02,9:00
C005,AK,2024-11-02,9:00
C001,AK,2024-11-02,9:00
E005,AK,2024-11-02,9:00
D137,SA,2024-11-02,9:00
C010,AK,2024-11-02,9:00
C008,AK,2024-11-02,9:00
D132,SA,2024-11-02,9:00
D133,SA,2024-11-02,9:00
D136,SA,2024-11-02,9:00
E103,AK,2024-11-02,9:00
E105,AK,2024-11-02,9:00
C102,AK,2024-11-02,9:00
C101,AK,2024-11-02,9:00
C110,AK,2024-11-02,9:00
C103,AK,2024-11-02,9:00
C104,AK,2024-11-02,9:00
C109,AK,2024-11-02,9:00
C107,AK,2024-11-02,9:00
C108,AK,2024-11-02,9:00
C106,AK,2024-11-02,9:00
C105,AK,2024-11-02,9:00
C111,AK,2024-11-02,9:00
C112,AK,2024-11-02,9:00
C004,SA,2024-11-03,11:30
C002,SA,2024-11-03,11:30
C005,SA,2024-11-03,11:30
E004,AK,2024-11-03,11:30
E005,AK,2024-11-03,11:30
E001,AK,2024-11-03,11:30
E105,AK,2024-11-03,11:30
C003,AK,2024-11-03,11:30
E003,AK,2024-11-03,11:30
C008,SA,2024-11-03,11:30
C009,SA,2024-11-03,11:30
C002,AK,2024-11-03,11:30
C008,AK,2024-11-03,11:30
C002,SA,2024-11-04,11:30
C008,AK,2024-11-04,11:30
C005,AK,2024-11-04,11:30
C010,AK,2024-11-04,11:30
C009,AK,2024-11-04,11:30
C006,AK,2024-11-04,11:30
C008,SA,2024-11-04,11:30
C005,SA,2024-11-04,11:30
C004,SA,2024-11-04,11:30
E001,AK,2024-11-04,11:30
C109,AK,2024-11-04,11:30
C103,AK,2024-11-04,11:30
C110,AK,2024-11-04,11:30
C112,AK,2024-11-04,11:30
E103,AK,2024-11-05,11:30
C002,SA,2024-11-05,11:30
C005,SA,2024-11-05,11:30
B013,SA,2024-11-05,11:30
B115,SA,2024-11-05,11:30
C008,SA,2024-11-05,11:30
C009,SA,2024-11-05,11:30
C004,SA,2024-11-05,11:30
B018,SA,2024-11-05,11:30
B116,SA,2024-11-05,11:30
C010,AK,2024-11-05,11:30
E104,AK,2024-11-05,11:30
E005,AK,2024-11-05,11:30
E004,AK,2024-11-05,11:30
E106,AK,2024-11-05,11:30
E002A,AK,2024-11-05,11:30
E002B,AK,2024-11-05,11:30
E105,AK,2024-11-05,11:30
E101,AK,2024-11-05,11:30
C112,AK,2024-11-05,11:30
C111,AK,2024-11-05,11:30
C110,AK,2024-11-05,11:30
C103,AK,2024-11-05,11:30
C106,AK,2024-11-05,11:30
C108,AK,2024-11-05,11:30
C008,AK,2024-11-05,11:30
C104,AK,2024-11-05,11:30
C010,SA,2024-11-05,11:30
C107,AK,2024-11-05,11:30
C102,AK,2024-11-05,11:30
C105,AK,2024-11-05,11:30
B003,SA,2024-11-05,11:30
C101,AK,2024-11-05,11:30
C109,AK,2024-11-05,11:30
C010,AK,2024-11-06,11:30
C009,AK,2024-11-06,11:30
E001,AK,2024-11-06,11:30
C008,AK,2024-11-06,11:30
C005,SA,2024-11-06,11:30
C008,SA,2024-11-06,11:30
C002,SA,2024-11-06,11:30
C004,SA,2024-11-06,11:30
C006,AK,2024-11-07,11:30
C009,AK,2024-11-07,11:30
E001,AK,2024-11-07,11:30
C005,AK,2024-11-07,11:30
C004,AK,2024-11-07,11:30
C010,AK,2024-11-07,11:30
C106,AK,2024-11-07,11:30
C112,AK,2024-11-07,11:30
C105,AK,2024-11-07,11:30
C110,AK,2024-11-07,11:30
C108,AK,2024-11-07,11:30
C109,AK,2024-11-07,11:30
C104,AK,2024-11-07,11:30
C103,AK,2024-11-07,11:30
C101,AK,2024-11-07,11:30
C111,AK,2024-11-07,11:30
E005,AK,2024-11-09,9:00
C008,SA,2024-11-09,9:00
C002,SA,2024-11-09,9:00
C004,SA,2024-11-09,9:00
C005,SA,2024-11-09,9:00
C107,AK,2024-11-09,9:00
E004,AK,2024-11-09,9:00
C009,SA,2024-11-09,9:00
E002A,AK,2024-11-09,9:00
C008,AK,2024-11-09,9:00
A031,AK,2024-11-09,9:00
C112,AK,2024-11-09,9:00
C106,AK,2024-11-09,9:00
C109,AK,2024-11-09,9:00
C110,AK,2024-11-09,9:00
C111,AK,2024-11-09,9:00
